open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1720899900000,58602.20,58650.00,58572.00,58596.60,312.639,1720900799999,18323372.56390,7020,150.754,8835810.69900,0
1720900800000,58596.70,58608.00,58550.00,58566.90,631.855,1720901699999,37007996.99060,10667,292.512,17133209.35290,0
1720901700000,58566.90,58607.80,58550.00,58571.60,358.409,1720902599999,20990569.90120,6961,203.549,11920934.72240,0
1720902600000,58571.60,58644.00,58550.00,58615.00,534.095,1720903499999,31284431.16340,7929,324.302,18997700.97710,0
1720903500000,58615.00,58658.30,58559.00,58570.90,551.525,1720904399999,32325143.02410,8401,302.642,17740635.57520,0
1720904400000,58571.00,58613.70,58551.00,58568.70,354.974,1720905299999,20790936.29700,7629,182.001,10660553.54330,0
1720905300000,58568.60,58677.70,58568.60,58652.60,478.115,1720906199999,28040277.92310,7945,294.548,17273237.73910,0
1720906200000,58652.60,58652.70,58614.90,58617.20,216.538,1720907099999,12695943.89850,5368,123.902,7264353.96980,0
1720907100000,58617.10,58668.60,58617.10,58668.50,223.901,1720907999999,13127586.11230,3734,174.993,10259945.30600,0
1720908000000,58668.50,58669.50,58630.20,58658.40,519.776,1720908899999,30485969.05860,6120,294.069,17246167.24010,0
1720908900000,58658.40,58662.80,58254.50,58375.10,4851.726,1720909799999,283375540.41160,44675,1601.898,93537224.00160,0
1720909800000,58375.10,59004.40,58293.40,58749.10,7048.105,1720910699999,413869197.86830,70493,4474.259,262691651.23790,0
1720910700000,58749.00,59574.80,58749.00,59449.50,11670.442,1720911599999,690985106.33650,120303,7465.848,442166795.09870,0
1720911600000,59449.60,59800.00,59214.80,59701.50,8768.454,1720912499999,521681535.89190,102911,4763.120,283518611.70190,0
1720912500000,59701.50,59850.00,59296.80,59365.80,6574.267,1720913399999,391612932.75330,75682,2693.779,160494412.83900,0
1720913400000,59365.70,59396.90,59164.80,59245.70,4446.063,1720914299999,263544377.44820,47027,2177.555,129093969.28980,0
1720914300000,59245.70,59269.20,59100.00,59174.00,2068.776,1720915199999,122423225.65930,29594,1028.876,60890403.37240,0
