open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1722384000000,66159.30,66206.00,65825.90,65990.90,3810.313,1722385799999,251451708.10890,48665,1771.038,116857230.98880,0
1722385800000,65991.00,66380.00,65982.10,66313.90,3475.431,1722387599999,230181616.88260,47269,1954.611,129462347.46840,0
1722387600000,66314.00,66373.40,66251.00,66267.90,1932.625,1722389399999,128156248.51840,30491,819.239,54328766.41410,0
1722389400000,66268.00,66287.90,66066.00,66269.10,2422.415,1722391199999,160316990.99240,29907,1005.129,66515993.72840,0
1722391200000,66269.10,66380.00,66113.80,66345.90,2041.742,1722392999999,135270673.81510,27444,1125.383,74567932.49950,0
1722393000000,66346.00,66346.00,66036.00,66084.40,2517.648,1722394799999,166457647.54630,31615,1199.362,79294328.27540,0
1722394800000,66084.50,66203.20,66006.30,66021.10,2778.941,1722396599999,183710612.01520,31309,1567.586,103639606.38000,0
1722396600000,66021.00,66122.00,66008.50,66028.90,999.444,1722398399999,66019841.70580,15187,586.230,38725644.71980,0
1722398400000,66028.10,66073.30,65750.00,65794.40,4684.042,1722400199999,308561109.50290,45833,2048.418,134923293.81420,0
1722400200000,65794.30,65832.50,65459.40,65774.10,7444.870,1722401999999,488621072.75780,75432,3585.195,235311939.05020,0
1722402000000,65774.10,65833.00,65550.00,65737.20,3634.608,1722403799999,238772979.92270,43625,1999.844,131401358.34950,0
1722403800000,65737.30,66198.70,65725.30,66154.20,5908.791,1722405599999,389801760.27610,58048,3266.325,215468749.55310,0
1722405600000,66153.90,66540.80,66088.50,66331.90,10901.360,1722407399999,723114472.00750,98999,5767.805,382546251.50160,0
1722407400000,66331.90,66464.70,66328.90,66425.40,2368.430,1722409199999,157269127.98720,29232,1277.806,84858815.44450,0
1722409200000,66425.50,66499.70,66297.00,66329.70,3467.956,1722410999999,230199242.37540,37070,1572.251,104376489.46040,0
1722411000000,66329.80,66345.00,66185.30,66196.40,2475.937,1722412799999,164068671.87490,29612,1143.635,75785516.67300,0
1722412800000,66196.40,66318.40,66010.00,66239.10,4609.094,1722414599999,304935209.62150,47358,2489.958,164765989.90690,0
1722414600000,66239.20,66348.00,66220.00,66285.10,1539.395,1722416399999,102046410.33960,20569,853.743,56594415.16280,0
1722416400000,66285.20,66326.30,66127.00,66280.40,1663.900,1722418199999,110218091.64270,23324,819.635,54299970.63530,0
1722418200000,66280.50,66360.40,66182.30,66230.00,1804.570,1722419999999,119604987.27660,21846,1123.059,74442901.90450,0
1722420000000,66230.00,66230.10,66045.50,66110.90,2894.221,1722421799999,191374912.45130,28129,1127.120,74515810.97510,0
1722421800000,66110.80,66120.00,65906.70,65960.20,3448.617,1722423599999,227622873.00680,37158,1287.146,84956487.94080,0
1722423600000,65960.20,66120.00,65930.00,66064.00,1953.626,1722425399999,129013052.01460,27872,1110.126,73315149.89170,0
1722425400000,66064.80,66120.00,65986.50,66062.60,1240.552,1722427199999,81957791.85370,19880,643.399,42508432.05330,0
1722427200000,66062.70,66178.00,65954.30,66064.70,2383.949,1722428999999,157549541.97960,31999,1382.686,91393820.22750,0
1722429000000,66064.60,66270.00,66020.70,66128.80,3822.618,1722430799999,252831796.34680,44453,2084.958,137914181.67060,0
1722430800000,66128.80,66450.00,66102.10,66429.90,3976.641,1722432599999,263746823.70210,48059,2138.613,141843096.73950,0
1722432600000,66430.00,66826.30,66360.50,66484.50,12152.213,1722434399999,809550330.86350,126645,5803.787,386643602.45460,0
1722434400000,66484.60,66706.20,65939.70,66101.10,10122.758,1722436199999,671307724.12490,102687,4591.133,304566045.05260,0
1722436200000,66101.10,66610.00,66022.10,66409.90,8241.600,1722437999999,546648895.41220,89964,4592.157,304575811.50950,0
1722438000000,66410.00,66531.30,66316.00,66376.90,3083.608,1722439799999,204798891.29910,48561,1376.677,91438184.39310,0
1722439800000,66376.90,66500.00,66289.40,66354.50,2487.567,1722441599999,165172034.81140,37764,1223.867,81267070.09170,0
1722441600000,66354.40,66745.80,66301.40,66491.20,5211.693,1722443399999,346891594.80620,57113,2841.299,189125296.38480,0
1722443400000,66491.10,66503.60,66260.00,66334.30,4070.558,1722445199999,270230175.22280,52325,2047.972,135960426.84380,0
1722445200000,66334.30,66600.00,66267.40,66508.80,2936.751,1722446999999,195147141.13070,41914,1570.053,104347239.65550,0
1722447000000,66508.90,66820.00,66455.60,66656.10,6874.607,1722448799999,458340294.18520,78659,3396.520,226466851.13090,0
1722448800000,66656.10,66710.30,66107.40,66165.10,10867.583,1722450599999,721589660.05890,127632,4846.236,321798829.38200,0
1722450600000,66165.10,66594.00,66125.60,66498.50,7016.166,1722452399999,465886089.63020,88427,3591.650,238472872.60630,0
1722452400000,66498.50,66620.00,65613.30,65738.00,12119.036,1722454199999,800106742.34080,124709,5258.913,347220584.91430,0
1722454200000,65738.00,65950.00,64894.00,65229.80,21977.520,1722455999999,1436084486.72060,231468,10011.704,654425632.06360,0
